O9G_000001	PITH domain-containing protein
O9G_004116	Per1-like domain-containing protein
O9G_004117	Quinonprotein alcohol dehydrogenase-like superfamily domain-containing protein
O9G_004118	Proteasome maturation factor UMP1 domain-containing protein
O9G_004119	Peptidase S9A/B/C, oligopeptidasebeta-propeller domain-containing protein
O9G_004120	Glycosyltransferase, ALG3 domain-containing protein
O9G_004121	hypothetical protein
O9G_004122	hypothetical protein
O9G_004123	Folate-sensitive fragile site protein Fra10Ac1 domain-containing protein
O9G_004125	hypothetical protein
O9G_004126	hypothetical protein
O9G_004127	hypothetical protein
O9G_004128	hypothetical protein
O9G_004129	Zinc finger, C2H2 domain-containing protein
O9G_004130	GNAT domain-containing protein
O9G_004131	hypothetical protein
O9G_004132	hypothetical protein
O9G_004133	hypothetical protein
O9G_004134	hypothetical protein
O9G_004135	RmlC-like jelly roll fold domain-containing protein
O9G_004136	Zinc finger, C2H2 domain-containing protein
O9G_004137	hypothetical protein
O9G_004138	CAP domain-containing protein
O9G_004139	hypothetical protein
O9G_004140	hypothetical protein
O9G_004141	DNA/pantothenate metabolism flavoprotein domain-containing protein
O9G_004142	GPCR 89-related domain-containing protein
O9G_004143	Peptidase S8/S53 domain-containing protein
O9G_004145	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_004146	hypothetical protein
O9G_004147	hypothetical protein
O9G_004148	hypothetical protein
O9G_004149	ABC transporter domain-containing protein
O9G_004150	hypothetical protein
O9G_004151	hypothetical protein
O9G_004152	Ribosomal protein L37ae domain-containing protein
O9G_004153	hypothetical protein
O9G_004154	Plus-3 domain-containing protein
O9G_004155	DnaJ domain-containing protein
O9G_004156	hypothetical protein
O9G_004157	Vacuolar protein sorting-associated, VPS28 domain-containing protein
O9G_004158	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_004159	Tetratricopeptide-like helical domain-containing protein
O9G_004163	Dynamin, GTPase domain-containing protein
O9G_004164	hypothetical protein
O9G_004165	Protein of unknown function DUF155 domain-containing protein
O9G_004166	hypothetical protein
O9G_004167	Deoxyhypusine hydroxylase-like PROTEIN
O9G_004168	hypothetical protein
O9G_004169	Quinonprotein alcohol dehydrogenase-like superfamily domain-containing protein
O9G_004170	Proteasome, beta-type subunit domain-containing protein
O9G_004171	Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1 domain-containing protein
O9G_004172	UDP-glucuronic acid decarboxylase 1
O9G_004173	hypothetical protein
O9G_004174	Zinc finger, C2H2 domain-containing protein
O9G_004175	Glycoside hydrolase family 15 domain-containing protein
O9G_004176	Polyadenylate binding protein domain-containing protein
O9G_004177	hypothetical protein
O9G_004178	Carbon-nitrogen hydrolase domain-containing protein
O9G_004179	H/ACA ribonucleoprotein complex, subunit Gar1/Naf1 domain-containing protein
O9G_004180	hypothetical protein
O9G_004181	hypothetical protein
O9G_004182	PHD-zinc-finger like domain-containing protein
O9G_004183	3'-5' exonuclease domain-containing protein
O9G_004184	hypothetical protein
O9G_004185	Heat shock factor (HSF)-type, DNA-binding domain-containing protein
O9G_004186	CRAL-TRIO domain-containing protein
O9G_004187	START domain-containing protein
O9G_004188	hypothetical protein
O9G_004189	hypothetical protein
O9G_004191	JmjC domain-containing protein
O9G_004192	NAD(P)-binding domain-containing protein
O9G_004193	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 domain-containing protein
O9G_004194	hypothetical protein
O9G_004196	RAVE complex protein Rav1 domain-containing protein
O9G_004197	hypothetical protein
O9G_004198	hypothetical protein
O9G_004199	Zinc finger, C2H2 domain-containing protein
O9G_004200	Parkin coregulated gene-like protein
O9G_004201	hypothetical protein
O9G_004202	hypothetical protein
O9G_004203	hypothetical protein
O9G_004204	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_004205	Cytochrome B561-related domain-containing protein
O9G_004206	Zinc finger, C2H2 domain-containing protein
O9G_004207	hypothetical protein
O9G_004208	hypothetical protein
O9G_004209	hypothetical protein
O9G_004210	hypothetical protein
O9G_004211	Maf1 regulator domain-containing protein
O9G_004212	hypothetical protein
O9G_004214	Protein kinase-like domain-containing protein
O9G_004215	hypothetical protein
O9G_004216	hypothetical protein
O9G_004218	Protein kinase, catalytic domain-containing protein
O9G_004219	Monothiol glutaredoxin-related domain-containing protein
O9G_004220	U3 small nucleolar ribonucleoprotein complex, subunit Mpp10p domain-containing protein
O9G_004221	hypothetical protein
O9G_004222	hypothetical protein
O9G_004223	Serine/threonine-protein kinase domain-containing protein 7
O9G_004224	hypothetical protein
O9G_004225	SWIRM domain-containing protein
O9G_004226	hypothetical protein
O9G_004227	hypothetical protein
O9G_004228	hypothetical protein
O9G_004229	hypothetical protein
O9G_004230	Histone H2A
O9G_004231	hypothetical protein
O9G_004232	Zinc finger, C2H2 domain-containing protein
O9G_004233	Ion transport domain-containing protein
O9G_004234	Pre-rRNA-processing protein pno1
O9G_004235	Actin-related protein 2
O9G_004236	hypothetical protein
O9G_004237	hypothetical protein
O9G_004238	Thioredoxin-like fold domain-containing protein
O9G_004239	hypothetical protein
O9G_004240	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_004241	hypothetical protein
O9G_004243	hypothetical protein
O9G_004245	Cyclin PHO80-like domain-containing protein
O9G_004246	DNA-directed DNA polymerase, family B, multifunctional domain-containing protein
O9G_004247	hypothetical protein
O9G_004248	Zinc finger, C2H2 domain-containing protein
O9G_004249	hypothetical protein
O9G_004250	hypothetical protein
O9G_004251	hypothetical protein
O9G_004252	T-complex protein 1 subunit epsilon
O9G_004253	Mediator complex, subunit Med6 domain-containing protein
O9G_004254	Small GTPase superfamily domain-containing protein
O9G_004255	hypothetical protein
O9G_004256	Major facilitator superfamily, general substrate transporter domain-containing protein
O9G_004257	hypothetical protein
O9G_004258	hypothetical protein
O9G_004259	GTP cyclohydrolase I/Nitrile oxidoreductase domain-containing protein
O9G_004260	hypothetical protein
O9G_004261	3'5'-cyclic nucleotide phosphodiesterase domain-containing protein
O9G_004262	Pyridoxal phosphate-dependent transferase domain-containing protein 6
O9G_004263	hypothetical protein
O9G_004264	hypothetical protein
O9G_004265	SHQ1 protein domain-containing protein
O9G_004266	Adenylyl cyclase class-3/4/guanylyl cyclase domain-containing protein
O9G_004267	hypothetical protein
O9G_004268	Phosphatidylinositol 3-/4-kinase, catalytic domain-containing protein
O9G_004269	NEDD4/BSD2 domain-containing protein
O9G_004270	Short-chain dehydrogenase/reductase SDR domain-containing protein
O9G_004271	TMS membrane protein/tumor differentially expressed protein domain-containing protein
O9G_004272	hypothetical protein
O9G_004274	Lipase, class 3 domain-containing protein
O9G_004275	hypothetical protein
O9G_004276	hypothetical protein
O9G_004277	Superkiller viralicidic activity 2-like 2
O9G_004278	Transcription factor, fork head domain-containing protein
O9G_004279	Polysaccharide deacetylase domain-containing protein
O9G_004280	hypothetical protein
O9G_004281	RNA recognition motif domain-containing protein
O9G_004282	WW domain-containing protein
O9G_004283	Exocyst complex component Sec10-like domain-containing protein
O9G_004284	Zinc finger, C2H2 domain-containing protein
O9G_004285	Calcium-binding protein 39
O9G_004286	Globin, structural domain-containing protein
O9G_004287	Globin, structural domain-containing protein
O9G_004288	Glycoside hydrolase, family 37 domain-containing protein
O9G_004289	Glycosyl transferase, family 8 domain-containing protein
O9G_004290	CRAL-TRIO domain-containing protein
O9G_004291	DNA-binding TFAR19-related protein domain-containing protein
O9G_004293	Phox domain-containing protein
O9G_004294	hypothetical protein
O9G_004295	hypothetical protein
O9G_004296	hypothetical protein
O9G_004297	hypothetical protein
O9G_004298	hypothetical protein
O9G_004299	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit GCD14-like protein
O9G_004300	Pyridoxal phosphate-dependent transferase domain-containing protein 5
O9G_004301	Histone-fold domain-containing protein
O9G_004302	Zinc finger, TFIIS-type domain-containing protein
O9G_004303	ARP2/3 complex, 34kDa subunit (p34-Arc) domain-containing protein
O9G_004304	hypothetical protein
O9G_004305	hypothetical protein
O9G_004306	Phosphatidylinositol 4-kinase domain-containing protein
O9G_004307	hypothetical protein
O9G_004308	hypothetical protein
O9G_004309	hypothetical protein
O9G_004311	hypothetical protein
O9G_004312	Membrane bound O-acyl transferase, MBOAT domain-containing protein
O9G_004313	Alpha-D-phosphohexomutase, alpha/beta/alpha I domain-containing protein
O9G_004314	hypothetical protein
O9G_004315	hypothetical protein
O9G_004316	Glycoside hydrolase, family 5 domain-containing protein
O9G_004317	hypothetical protein
O9G_004318	hypothetical protein
O9G_004319	hypothetical protein
O9G_004320	hypothetical protein
O9G_004321	hypothetical protein
O9G_004322	hypothetical protein
O9G_004323	hypothetical protein
O9G_004324	hypothetical protein
O9G_004325	hypothetical protein
O9G_004326	DNA helicase PIF1, ATP-dependent domain-containing protein
O9G_004327	hypothetical protein
O9G_004329	Adenylyl cyclase class-3/4/guanylyl cyclase domain-containing protein
O9G_004330	hypothetical protein
O9G_004331	DNA-directed DNA polymerase, family B, exonuclease domain-containing protein
O9G_004332	hypothetical protein
O9G_004333	DNA replication licensing factor Mcm2 domain-containing protein
O9G_004334	hypothetical protein
O9G_004335	Phosphatidylinositol 3-/4-kinase, catalytic domain-containing protein
O9G_004336	hypothetical protein
O9G_004337	hypothetical protein
O9G_004339	hypothetical protein
O9G_004340	hypothetical protein
O9G_004341	hypothetical protein
O9G_004342	60S ribosomal protein L5
O9G_004343	Membrane bound O-acyl transferase, MBOAT domain-containing protein
O9G_004344	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 domain-containing protein
O9G_004345	Velvet factor domain-containing protein
O9G_004346	hypothetical protein
O9G_004347	Zinc finger, C2H2 domain-containing protein
O9G_004348	hypothetical protein
O9G_004349	hypothetical protein
O9G_004351	hypothetical protein
O9G_004352	hypothetical protein
O9G_004353	GOLD domain-containing protein
O9G_004354	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_004355	hypothetical protein
O9G_004356	Pyruvate kinase, barrel domain-containing protein
O9G_004357	hypothetical protein
O9G_004358	hypothetical protein
O9G_004359	hypothetical protein
O9G_004360	hypothetical protein
O9G_004361	hypothetical protein
O9G_004362	hypothetical protein
O9G_004363	hypothetical protein
O9G_004364	hypothetical protein
O9G_004365	hypothetical protein
O9G_004366	ABC transporter domain-containing protein
O9G_004367	Membrane protein,Tapt1/CMV receptor domain-containing protein
O9G_004368	hypothetical protein
O9G_004369	NUDIX hydrolase-like domain-containing protein
O9G_004370	Cytosolic Fe-S cluster assembly factor nubp1
O9G_004371	Cytoplasmic tRNA 2-thiolation protein 1
O9G_004373	hypothetical protein
O9G_004374	AAA domain-containing protein
O9G_004375	hypothetical protein
O9G_004376	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_004377	Methyltransferase-like domain-containing protein
O9G_004378	Vacuolar protein sorting-associated protein 13 domain-containing protein
O9G_004379	Vacuolar protein sorting-associated protein 13A domain-containing protein
O9G_004381	CheY-like superfamily domain-containing protein
O9G_004382	Mitochondrial substrate/solute carrier domain-containing protein
O9G_004383	hypothetical protein
O9G_004384	hypothetical protein
O9G_004385	hypothetical protein
O9G_004386	Monooxygenase, FAD-binding domain-containing protein
O9G_004387	Chloramphenicol acetyltransferase-like domain-containing protein
O9G_004388	hypothetical protein
O9G_004389	Spindle assembly checkpoint component Mad1 domain-containing protein
O9G_004390	De-etiolated protein 1, Det1 domain-containing protein
O9G_004391	Fungal chitin synthase domain-containing protein
O9G_004392	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_004394	Forkhead-associated (FHA) domain-containing protein
O9G_004395	Thioredoxin-like fold domain-containing protein
O9G_004396	Cyclic nucleotide-binding domain-containing protein
O9G_004397	Associate of Myc 1 domain-containing protein
O9G_004398	Proliferating cell nuclear antigen, PCNA domain-containing protein
O9G_004399	AMP-binding domain-containing protein
O9G_004400	Protein of unknown function DUF775 domain-containing protein
O9G_004401	hypothetical protein
O9G_004402	Aldo/keto reductase subgroup domain-containing protein
O9G_004403	DUF1605 domain-containing protein
O9G_004404	hypothetical protein
O9G_004405	hypothetical protein
O9G_004406	hypothetical protein
O9G_004407	hypothetical protein
O9G_004409	NUDIX hydrolase-like domain-containing protein
O9G_004410	hypothetical protein
O9G_004411	hypothetical protein
O9G_004412	hypothetical protein
O9G_004413	hypothetical protein
O9G_004414	hypothetical protein
O9G_004415	Protein kinase, catalytic domain-containing protein
O9G_004416	Tetratricopeptide-like helical domain-containing protein
O9G_004417	hypothetical protein
O9G_004418	ATPase, AAA-type domain-containing protein
O9G_004419	hypothetical protein
O9G_004421	hypothetical protein
O9G_004422	P-type ATPase, cytoplasmic N domain-containing protein
O9G_004423	hypothetical protein
O9G_004424	Ribophorin I domain-containing protein
O9G_004425	FAD/NAD-linked reductase, dimerization domain-containing protein
O9G_004426	GPI mannosyltransferase 2 domain-containing protein
O9G_004427	hypothetical protein
O9G_004428	VHS subgroup domain-containing protein
O9G_004429	hypothetical protein
O9G_004430	Ribosomal protein S5 2-type fold, subgroup domain-containing protein
O9G_004431	hypothetical protein
O9G_004432	hypothetical protein
O9G_004433	Tetratricopeptide-like helical domain-containing protein
O9G_004434	hypothetical protein
O9G_004436	hypothetical protein
O9G_004437	Calcineurin subunit B
O9G_004438	hypothetical protein
O9G_004439	hypothetical protein
O9G_004440	hypothetical protein
O9G_004441	Glutaryl-CoA dehydrogenase, mitochondrial-like protein
O9G_004442	hypothetical protein
O9G_004443	putative isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial
O9G_004444	hypothetical protein
O9G_004445	Octanoyltransferase domain-containing protein
O9G_004446	Endonuclease/exonuclease/phosphatase domain-containing protein
O9G_004447	hypothetical protein
O9G_004448	SWAP/Surp domain-containing protein
O9G_004450	hypothetical protein
O9G_004451	hypothetical protein
O9G_004452	Brix domain-containing protein
O9G_004453	hypothetical protein
O9G_004454	Serine/threonine-dual specificity protein kinase domain-containing protein
O9G_004455	Ysc84 actin-binding domain-containing protein
O9G_004456	hypothetical protein
O9G_004457	hypothetical protein
O9G_004458	Tetratricopeptide-like helical domain-containing protein
O9G_004459	hypothetical protein
O9G_004460	hypothetical protein
O9G_004461	Enhancer of rudimentary domain-containing protein
O9G_004462	hypothetical protein
O9G_004463	hypothetical protein
O9G_004464	hypothetical protein
O9G_004465	hypothetical protein
O9G_004466	DnaJ domain-containing protein
O9G_004470	Peptidase A22, presenilin signal peptide domain-containing protein
O9G_004471	hypothetical protein
O9G_004472	hypothetical protein
O9G_004473	Quinonprotein alcohol dehydrogenase-like superfamily domain-containing protein
O9G_004474	tRNA delta(2)-isopentenylpyrophosphate transferase domain-containing protein
O9G_004475	DUF4201 domain-containing protein
O9G_004476	Enkurin-like domain-containing protein
O9G_004477	UbiB domain-containing protein
O9G_004478	hypothetical protein
O9G_004479	Gamma-glutamyltranspeptidase domain-containing protein
O9G_004480	Protein kinase-like domain-containing protein
O9G_004481	Nucleoporin interacting component Nup93/Nic96 domain-containing protein
O9G_004482	hypothetical protein
O9G_004483	hypothetical protein
O9G_004484	hypothetical protein
O9G_004485	CobW/HypB/UreG domain-containing protein
O9G_004486	hypothetical protein
O9G_004487	ABC transporter F family member 2
O9G_004488	hypothetical protein
O9G_004489	hypothetical protein
O9G_004490	hypothetical protein
O9G_004491	hypothetical protein
O9G_004492	hypothetical protein
O9G_004493	Radical SAM, alpha/beta horseshoe domain-containing protein
O9G_004494	Mitochondrial carrier protein domain-containing protein
O9G_004495	ATPase, F1 complex, delta/epsilon subunit domain-containing protein
O9G_004496	Protein kinase, catalytic domain-containing protein
O9G_004497	hypothetical protein
O9G_004499	Exoribonuclease, phosphorolytic 1 domain-containing protein
O9G_004500	hypothetical protein
O9G_004501	hypothetical protein
O9G_004502	Acyl-CoA oxidase/dehydrogenase, central domain-containing protein
O9G_004503	TRAPP III complex, Trs85 domain-containing protein
O9G_004504	Galactose-binding-like domain-containing protein
O9G_004505	hypothetical protein
O9G_004506	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_004507	Phosphotyrosyl phosphatase activator, PTPA domain-containing protein
O9G_004508	Peroxisomal biogenesis factor 11 domain-containing protein
O9G_004509	RNA recognition motif domain-containing protein
O9G_004510	Septin domain-containing protein
O9G_004511	CobW/HypB/UreG domain-containing protein
O9G_004512	GPCR, family 3 domain-containing protein
O9G_004514	hypothetical protein
O9G_004515	Riboflavin kinase, bacterial/eukaryotic domain-containing protein
O9G_004516	hypothetical protein
O9G_004517	hypothetical protein
O9G_004518	hypothetical protein
O9G_004519	hypothetical protein
O9G_004520	hypothetical protein
O9G_004521	Thioredoxin domain-containing protein
O9G_004522	Chloride channel, voltage gated domain-containing protein
O9G_004524	hypothetical protein
O9G_004525	Tetratricopeptide-like helical domain-containing protein
O9G_004526	hypothetical protein
O9G_004527	hypothetical protein
O9G_004528	DNA-directed RNA polymerase II subunit RPB2
O9G_004529	hypothetical protein
O9G_004530	Biotin carboxylase domain-containing protein
O9G_004531	mRNA splicing factor SYF2 domain-containing protein
O9G_004532	hypothetical protein
O9G_004533	Ras GTPase-activating protein domain-containing protein
O9G_004534	Zinc finger, FYVE/PHD-type domain-containing protein
O9G_004536	Acyl-CoA thioesterase II domain-containing protein
O9G_004537	hypothetical protein
O9G_004538	hypothetical protein
O9G_004539	hypothetical protein
O9G_004540	Acyl-CoA dehydrogenase/oxidase domain-containing protein
O9G_004541	hypothetical protein
O9G_004542	hypothetical protein
O9G_004543	hypothetical protein
O9G_004544	hypothetical protein
O9G_004545	hypothetical protein
O9G_004546	hypothetical protein
O9G_004547	Glycoside hydrolase, family 18, catalytic domain-containing protein
O9G_004549	hypothetical protein
O9G_004550	hypothetical protein
O9G_004551	Alpha-aminoadipic semialdehyde dehydrogenase
O9G_004552	Radial spokehead-like protein domain-containing protein
O9G_004553	hypothetical protein
O9G_004554	hypothetical protein
O9G_004555	Alpha/beta hydrolase family domain-containing protein
O9G_004556	hypothetical protein
O9G_004557	hypothetical protein
O9G_004558	hypothetical protein
O9G_004559	PLAA family ubiquitin binding, PFU domain-containing protein
O9G_004560	hypothetical protein
O9G_004561	hypothetical protein
O9G_004562	hypothetical protein
O9G_004563	CoA-binding domain-containing protein
O9G_004564	hypothetical protein
O9G_004565	hypothetical protein
O9G_004567	hypothetical protein
O9G_004568	hypothetical protein
O9G_004569	hypothetical protein
O9G_004570	Phospholipase/carboxylesterase/thioesterase domain-containing protein
O9G_004571	hypothetical protein
O9G_004572	hypothetical protein
O9G_004573	hypothetical protein
O9G_004574	hypothetical protein
O9G_004575	hypothetical protein
O9G_004576	hypothetical protein
O9G_004577	hypothetical protein
O9G_004578	hypothetical protein
O9G_004580	hypothetical protein
O9G_004581	Protein farnesyltransferase subunit beta domain-containing protein
O9G_004582	hypothetical protein
O9G_004583	Taxilin family domain-containing protein
O9G_004584	hypothetical protein
O9G_004585	hypothetical protein
O9G_004586	hypothetical protein
O9G_004587	Nop domain-containing protein
O9G_004588	hypothetical protein
O9G_004589	hypothetical protein
O9G_004590	Sde2 domain-containing protein
O9G_004591	hypothetical protein
O9G_004592	hypothetical protein
O9G_004593	Caltractin
O9G_004594	hypothetical protein
O9G_004595	hypothetical protein
O9G_004596	hypothetical protein
O9G_004598	CyclinH/Ccl1 domain-containing protein
O9G_004599	hypothetical protein
O9G_004600	hypothetical protein
O9G_004601	Cell differentiation protein rcd1
O9G_004602	ATPase, AAA-2 domain-containing protein
O9G_004603	hypothetical protein
O9G_004604	hypothetical protein
O9G_004605	hypothetical protein
O9G_004606	hypothetical protein
O9G_004607	F-actin capping protein, alpha subunit domain-containing protein
O9G_004608	hypothetical protein
O9G_004609	Alcohol dehydrogenase superfamily, zinc-type domain-containing protein
O9G_004610	hypothetical protein
O9G_004612	hypothetical protein
O9G_004613	Nop2p domain-containing protein
O9G_004614	hypothetical protein
O9G_004615	Tetratricopeptide-like helical domain-containing protein
O9G_004616	hypothetical protein
O9G_004617	hypothetical protein
O9G_004618	hypothetical protein
O9G_004619	hypothetical protein
O9G_004620	Organic solute transporter Ost-alpha domain-containing protein
O9G_004621	hypothetical protein
O9G_004624	Serine/threonine-protein kinase domain-containing protein 4
O9G_004625	hypothetical protein
O9G_004626	Aldolase-type TIM barrel domain-containing protein
O9G_004627	Glycoside hydrolase, family 37 domain-containing protein
O9G_004628	hypothetical protein
O9G_004629	Mini-chromosome maintenance domain-containing protein
O9G_004630	hypothetical protein
O9G_004632	hypothetical protein
O9G_004633	hypothetical protein
O9G_004634	hypothetical protein
O9G_004635	RNA polymerase Rpb1 1 domain-containing protein
O9G_004636	Calcium-transporting P-type ATPase, subfamily IIA, PMR1-type domain-containing protein
O9G_004637	hypothetical protein
O9G_004638	hypothetical protein
O9G_004640	hypothetical protein
O9G_004641	Nucleic acid-binding domain-containing protein
O9G_004643	hypothetical protein
O9G_004644	Pre-mRNA-splicing factor Cwf15/Cwc15 domain-containing protein
O9G_004645	Gamma tubulin complex protein 3 domain-containing protein
O9G_004646	Tubulin-tyrosine ligase domain-containing protein
O9G_004647	hypothetical protein
O9G_004648	DNA topoisomerase I, catalytic core, alpha/beta sub domain-containing protein
O9G_004649	Transcriptional repressor Tup1 domain-containing protein
O9G_004650	hypothetical protein
O9G_004651	Snf7 domain-containing protein
O9G_004653	Protein kinase, catalytic domain-containing protein
O9G_004655	Rossmann-like alpha/beta/alpha sandwich fold domain-containing protein
O9G_004656	hypothetical protein
O9G_004657	MyTH4 domain-containing protein
O9G_004658	hypothetical protein
O9G_004659	hypothetical protein
O9G_004660	Nucleolar GTP-binding protein 2 domain-containing protein
O9G_004661	hypothetical protein
O9G_004662	mago nashi-like protein
O9G_004664	EF-hand-like domain-containing protein
O9G_004665	hypothetical protein
O9G_004666	Histone-fold domain-containing protein
O9G_004668	hypothetical protein
O9G_004669	hypothetical protein
O9G_004670	Ubiquitin conserved site domain-containing protein
O9G_004671	hypothetical protein
O9G_004672	Tetratricopeptide-like helical domain-containing protein
O9G_004673	hypothetical protein
O9G_004674	hypothetical protein
O9G_004675	Tryptophan synthase beta subunit-like protein
O9G_004676	hypothetical protein
O9G_004677	hypothetical protein
O9G_004678	putative methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial
O9G_004679	Cullin 2-like protein
O9G_004681	Protein kinase, ATP binding site domain-containing protein
O9G_004682	Peptidase M16 domain-containing protein
O9G_004683	hypothetical protein
O9G_004684	Ubiquitin-like protein Atg12 domain-containing protein
O9G_004685	Choline transporter-like domain-containing protein
O9G_004686	Phosphatidylserine decarboxylase-related domain-containing protein
O9G_004687	hypothetical protein
O9G_004688	hypothetical protein
O9G_004689	NAD(P)-binding domain-containing protein
O9G_004690	Deoxyribonuclease I-like domain-containing protein
O9G_004691	hypothetical protein
O9G_004692	hypothetical protein
O9G_004694	hypothetical protein
O9G_004695	hypothetical protein
O9G_004696	hypothetical protein
O9G_004697	C-5 cytosine methyltransferase domain-containing protein
O9G_004698	DnaJ domain-containing protein
O9G_004699	Carboxyl transferase domain-containing protein
O9G_004700	Cation-transporting P-type ATPase domain-containing protein
O9G_004701	hypothetical protein
O9G_004702	ATPase, AAA-type domain-containing protein
O9G_004703	hypothetical protein
O9G_004704	hypothetical protein
O9G_004705	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_004706	hypothetical protein
O9G_004708	hypothetical protein
O9G_004709	Citrate lyase, beta subunit domain-containing protein
O9G_004710	hypothetical protein
O9G_004711	hypothetical protein
O9G_004712	Vacuolar protein 14-like protein
O9G_004713	Vacuole morphology and inheritance protein 14 domain-containing protein
O9G_004714	B-cell receptor-associated 31-like domain-containing protein
O9G_004715	hypothetical protein
O9G_004716	Flavoprotein domain-containing protein
O9G_004717	hypothetical protein
O9G_004718	Taurine catabolism dioxygenase TauD/TfdA domain-containing protein
O9G_004719	hypothetical protein
O9G_004721	ABC transporter E family member 2
O9G_004722	hypothetical protein
O9G_004723	Mitochondrial substrate/solute carrier domain-containing protein
O9G_004724	Peptidase S24/S26A/S26B/S26C, beta-ribbon domain-containing protein
O9G_004725	Thioredoxin-like fold domain-containing protein
O9G_004726	hypothetical protein
O9G_004728	hypothetical protein
O9G_004729	Cleavage stimulation factor subunit 2, hinge domain-containing protein
O9G_004730	60S ribosomal protein L26-2
O9G_004731	UbiB domain-containing protein
O9G_004732	hypothetical protein
O9G_004733	hypothetical protein
O9G_004734	DUF2428, death-receptor-like domain-containing protein
O9G_004735	hypothetical protein
O9G_004736	Phospholipase D family domain-containing protein
O9G_004737	Ran GTPase-activating protein domain-containing protein
O9G_004738	DNA-binding RFX-type winged-helix domain-containing protein
O9G_004740	hypothetical protein
O9G_004741	hypothetical protein
O9G_004742	hypothetical protein
O9G_004743	hypothetical protein
O9G_004744	hypothetical protein
O9G_004745	SNF2-related domain-containing protein
O9G_004747	hypothetical protein
O9G_004748	Ribosomal protein L18e/L15P domain-containing protein
O9G_004749	hypothetical protein
O9G_004750	hypothetical protein
O9G_004751	hypothetical protein
O9G_004753	Kinetochore protein Nuf2 domain-containing protein
O9G_004754	Metallophosphoesterase domain-containing protein
O9G_004755	GDP-fucose protein O-fucosyltransferase domain-containing protein
O9G_004756	hypothetical protein
O9G_004757	putative NUC173 domain-containing protein
O9G_004759	hypothetical protein
O9G_004760	Reverse transcriptase, RNA-dependent DNA polymerase domain-containing protein
O9G_004761	hypothetical protein
O9G_004762	hypothetical protein
O9G_004763	hypothetical protein
O9G_004765	hypothetical protein
O9G_004766	hypothetical protein
O9G_004768	Histone H2A
O9G_004769	hypothetical protein
O9G_004770	Protein of unknown function DUF1042 domain-containing protein
O9G_004771	Mitochondrial carrier domain-containing protein
O9G_004772	Putative serine/threonine-protein kinase PRKY
O9G_004773	hypothetical protein
O9G_004774	hypothetical protein
O9G_004775	Glycoside hydrolase, superfamily domain-containing protein
O9G_004776	hypothetical protein
O9G_004777	hypothetical protein
O9G_004778	Translin-like protein
O9G_004780	hypothetical protein
O9G_004781	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_004782	tRNA wybutosine-synthesizing protein domain-containing protein
O9G_004783	Magnesium transporter protein 1 domain-containing protein
O9G_004784	T-complex 11 domain-containing protein
O9G_004785	Gamma-glutamyltranspeptidase domain-containing protein
O9G_004786	hypothetical protein
O9G_004787	hypothetical protein
O9G_004789	hypothetical protein
O9G_004790	ATPase, V1 complex, subunit F domain-containing protein
O9G_004791	Protein translocase complex, SecE/Sec61-gamma subunit domain-containing protein
O9G_004792	Fructose-bisphosphate aldolase A
O9G_004793	hypothetical protein
O9G_004794	Rab3 GTPase-activating protein catalytic subunit domain-containing protein
O9G_004795	Peptide methionine sulfoxide reductase MrsB domain-containing protein
O9G_004796	hypothetical protein
O9G_004797	ATPase, V1 complex, subunit C domain-containing protein
O9G_004798	hypothetical protein
O9G_004799	hypothetical protein
O9G_004801	hypothetical protein
O9G_004802	hypothetical protein
O9G_004803	hypothetical protein
O9G_004804	hypothetical protein
O9G_004806	hypothetical protein
O9G_004807	hypothetical protein
O9G_004808	hypothetical protein
O9G_004809	hypothetical protein
O9G_004810	Translation initiation factor eIF3 subunit 135 domain-containing protein
O9G_004811	hypothetical protein
O9G_004812	AP-3 complex subunit beta-like protein
O9G_004814	hypothetical protein
O9G_004815	ENTH/VHS domain-containing protein
O9G_004816	hypothetical protein
O9G_004817	Lysozyme-like domain-containing protein
O9G_004819	hypothetical protein
O9G_004820	Glycine cleavage system P protein, homodimeric domain-containing protein
O9G_004821	Phosphoribulokinase/uridine kinase domain-containing protein
O9G_004822	hypothetical protein
O9G_004823	Glycosyl transferase, family 13 domain-containing protein
O9G_004824	DNA-directed DNA polymerase, family B, multifunctional domain-containing protein
O9G_004825	hypothetical protein
O9G_004826	SGS domain-containing protein
O9G_004828	ABC transporter domain-containing protein
O9G_004829	hypothetical protein
O9G_004830	hypothetical protein
O9G_004831	VHS subgroup domain-containing protein
